Actual_Close,Predicted_Close,Signal,Portfolio_Value
0.95,4.5761046,0.0,1000.0
1.05,4.5761046,0.0,1000.0
1.03,4.5761046,0.0,1000.0
1.06,4.5761046,0.0,1000.0
1.04,4.5761046,0.0,1000.0
1.07,4.5761046,0.0,1000.0
1.09,4.5761046,0.0,1000.0
1.09,4.5761046,0.0,1000.0
1.05,4.5761046,0.0,1000.0
1.09,4.5761046,0.0,1000.0
1.1,4.5761046,0.0,1000.0
1.18,4.5761046,0.0,1000.0
1.18,4.5761046,0.0,1000.0
1.19,4.5761046,0.0,1000.0
1.19,4.5761046,0.0,1000.0
1.21,4.5761046,0.0,1000.0
1.18,4.5761046,0.0,1000.0
1.26,4.5761046,0.0,1000.0
1.27,4.5761046,0.0,1000.0
1.22,4.5761046,0.0,1000.0
1.15,4.5761046,0.0,1000.0
1.15,4.5761046,0.0,1000.0
1.19,4.5761046,0.0,1000.0
1.2,4.5761046,0.0,1000.0
1.13,4.5761046,0.0,1000.0
1.09,4.5761046,0.0,1000.0
1.1,4.5761046,0.0,1000.0
1.08,4.5761046,0.0,1000.0
1.08,4.5761046,0.0,1000.0
1.07,4.5761046,0.0,1000.0
1.01,4.5761046,0.0,1000.0
1.16,4.5761046,0.0,1000.0
1.09,4.5761046,0.0,1000.0
1.08,4.5761046,0.0,1000.0
1.09,4.5761046,0.0,1000.0
1.09,4.5761046,0.0,1000.0
1.1,4.5761046,0.0,1000.0
1.14,4.5761046,0.0,1000.0
1.08,4.5761046,0.0,1000.0
1.08,4.5761046,0.0,1000.0
1.06,4.5761046,0.0,1000.0
1.14,4.5761046,0.0,1000.0
1.15,4.5761046,0.0,1000.0
1.13,4.5761046,0.0,1000.0
1.11,4.5761046,0.0,1000.0
1.1,4.5761046,0.0,1000.0
1.12,4.5761046,0.0,1000.0
1.17,4.5761046,0.0,1000.0
1.16,4.5761046,0.0,1000.0
1.06,4.5761046,0.0,1000.0
1.08,4.5761046,0.0,1000.0
1.08,4.5761046,0.0,1000.0
1.07,4.5761046,0.0,1000.0
1.04,4.5761046,0.0,1000.0
1.07,4.5761046,0.0,1000.0
